[2024-03-26T08:23:09.901+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 16% 89.3M 6s
[2024-03-26T08:23:09.903+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 16% 28.4M 6s
[2024-03-26T08:23:09.904+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 16% 66.4M 6s
[2024-03-26T08:23:09.905+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 16%  429M 6s
[2024-03-26T08:23:09.909+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 16%  172M 6s
[2024-03-26T08:23:09.914+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 16% 21.1M 5s
[2024-03-26T08:23:09.916+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 17% 4.12M 5s
[2024-03-26T08:23:09.919+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 17% 62.2M 5s
[2024-03-26T08:23:09.921+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 17%  167M 5s
[2024-03-26T08:23:09.937+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 17%  386M 5s
[2024-03-26T08:23:09.946+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 17%  327M 5s
[2024-03-26T08:23:09.956+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 17%  330M 5s
[2024-03-26T08:23:09.974+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 17%  350M 5s
[2024-03-26T08:23:09.983+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 17%  425M 5s
[2024-03-26T08:23:09.989+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 17% 41.2M 5s
[2024-03-26T08:23:09.992+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 17%  276M 5s
[2024-03-26T08:23:10.009+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 18%  417M 5s
[2024-03-26T08:23:10.011+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 18% 11.4M 5s
[2024-03-26T08:23:10.014+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 18% 2.64M 5s
[2024-03-26T08:23:10.031+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 18%  329M 5s
[2024-03-26T08:23:10.032+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 18%  415M 5s
[2024-03-26T08:23:10.032+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 18%  453M 5s
[2024-03-26T08:23:10.034+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 18%  250M 5s
[2024-03-26T08:23:10.036+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 18% 35.9M 5s
[2024-03-26T08:23:10.043+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 18% 80.3M 5s
[2024-03-26T08:23:10.049+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 18% 10.4M 5s
[2024-03-26T08:23:10.054+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 19% 6.48M 5s
[2024-03-26T08:23:10.056+0000] {subprocess.py:93} INFO -   9550K .......... .......... .......... .......... .......... 19% 20.6M 5s
[2024-03-26T08:23:10.062+0000] {subprocess.py:93} INFO -   9600K .......... .......... .......... .......... .......... 19% 3.23M 5s
[2024-03-26T08:23:10.070+0000] {subprocess.py:93} INFO -   9650K .......... .......... .......... .......... .......... 19% 24.2M 5s
