[2024-03-26T08:23:43.539+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 15%  397M 6s
[2024-03-26T08:23:43.541+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 15%  391M 6s
[2024-03-26T08:23:43.542+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 15% 32.5M 6s
[2024-03-26T08:23:43.543+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 15% 3.74M 6s
[2024-03-26T08:23:43.544+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 16%  215M 6s
[2024-03-26T08:23:43.545+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 16% 17.7M 6s
[2024-03-26T08:23:43.553+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 16% 11.5M 6s
[2024-03-26T08:23:43.559+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 16%  292M 6s
[2024-03-26T08:23:43.561+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 16% 4.72M 6s
[2024-03-26T08:23:43.563+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 16%  134M 6s
[2024-03-26T08:23:43.572+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 16%  274M 6s
[2024-03-26T08:23:43.575+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 16% 10.8M 6s
[2024-03-26T08:23:43.577+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 16% 5.18M 6s
[2024-03-26T08:23:43.579+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 16%  323M 6s
[2024-03-26T08:23:43.580+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 17%  143M 6s
[2024-03-26T08:23:43.580+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 17% 19.6M 6s
[2024-03-26T08:23:43.581+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 17% 15.0M 6s
[2024-03-26T08:23:43.581+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 17%  128M 6s
[2024-03-26T08:23:43.582+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 17%  112M 6s
[2024-03-26T08:23:43.583+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 17%  150M 6s
[2024-03-26T08:23:43.596+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 17% 90.1M 6s
[2024-03-26T08:23:43.601+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 17% 11.6M 6s
[2024-03-26T08:23:43.618+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 17% 10.4M 6s
[2024-03-26T08:23:43.621+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 17%  135M 6s
[2024-03-26T08:23:43.627+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 18% 18.4M 6s
[2024-03-26T08:23:43.628+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 18% 4.80M 6s
[2024-03-26T08:23:43.629+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 18% 61.0M 6s
[2024-03-26T08:23:43.630+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 18% 68.7M 5s
[2024-03-26T08:23:43.630+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 18%  234M 5s
[2024-03-26T08:23:43.631+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 18% 21.0M 5s
[2024-03-26T08:23:43.633+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 18% 11.2M 5s
[2024-03-26T08:23:43.634+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 18%  122M 5s
[2024-03-26T08:23:43.638+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 18%  250M 5s
[2024-03-26T08:23:43.639+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 18% 15.0M 5s
[2024-03-26T08:23:43.651+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 19% 11.9M 5s
[2024-03-26T08:23:43.653+0000] {subprocess.py:93} INFO -   9550K .......... .......... .......... .......... .......... 19%  323M 5s
[2024-03-26T08:23:43.656+0000] {subprocess.py:93} INFO -   9600K .......... .......... .......... .......... .......... 19% 6.23M 5s
[2024-03-26T08:23:43.664+0000] {subprocess.py:93} INFO -   9650K .......... .......... .......... .......... .......... 19%  305M 5s
[2024-03-26T08:23:43.668+0000] {subprocess.py:93} INFO -   9700K .......... .......... .......... .......... .......... 19%  453M 5s
[2024-03-26T08:23:43.669+0000] {subprocess.py:93} INFO -   9750K .......... .......... .......... .......... .......... 19% 13.0M 5s
