[2024-03-26T15:33:19.061+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 14% 84.5M 5s
[2024-03-26T15:33:19.084+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 14% 79.4M 5s
[2024-03-26T15:33:19.101+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 15% 58.2M 5s
[2024-03-26T15:33:19.108+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 15% 32.0M 5s
[2024-03-26T15:33:19.129+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 15% 28.1M 5s
[2024-03-26T15:33:19.157+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 15% 22.0M 5s
[2024-03-26T15:33:19.161+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 15% 21.1M 4s
[2024-03-26T15:33:19.177+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 15% 18.9M 4s
[2024-03-26T15:33:19.178+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 15%  135M 4s
[2024-03-26T15:33:19.180+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 15% 4.55M 4s
[2024-03-26T15:33:19.180+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 15%  112M 4s
[2024-03-26T15:33:19.181+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 15%  219M 4s
[2024-03-26T15:33:19.182+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 16%  165M 4s
[2024-03-26T15:33:19.183+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 16%  220M 4s
[2024-03-26T15:33:19.184+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 16%  326M 4s
[2024-03-26T15:33:19.185+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 16%  348M 4s
[2024-03-26T15:33:19.227+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 16%  390M 4s
[2024-03-26T15:33:19.246+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 16%  209M 4s
[2024-03-26T15:33:19.252+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 16% 5.34M 4s
[2024-03-26T15:33:19.285+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 16% 92.8M 4s
[2024-03-26T15:33:19.290+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 16%  363M 4s
[2024-03-26T15:33:19.316+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 16% 22.4M 4s
[2024-03-26T15:33:19.319+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 17% 41.4M 4s
[2024-03-26T15:33:19.324+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 17% 29.2M 4s
[2024-03-26T15:33:19.384+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 17% 45.0M 4s
[2024-03-26T15:33:19.400+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 17% 34.9M 4s
[2024-03-26T15:33:19.402+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 17% 20.5M 4s
[2024-03-26T15:33:19.403+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 17% 21.7M 4s
[2024-03-26T15:33:19.403+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 17% 29.4M 4s
[2024-03-26T15:33:19.404+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 17% 3.97M 4s
[2024-03-26T15:33:19.406+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 17% 13.1M 4s
[2024-03-26T15:33:19.412+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 17%  365M 4s
[2024-03-26T15:33:19.415+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 18%  411M 4s
[2024-03-26T15:33:19.430+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 18%  183M 4s
[2024-03-26T15:33:19.436+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 18%  337M 4s
[2024-03-26T15:33:19.449+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 18%  141M 4s
[2024-03-26T15:33:19.478+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 18%  215M 4s
[2024-03-26T15:33:19.487+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 18%  217M 4s
[2024-03-26T15:33:19.499+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 18%  242M 4s
[2024-03-26T15:33:19.513+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 18%  105M 4s
[2024-03-26T15:33:19.517+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 18%  121M 4s
[2024-03-26T15:33:19.531+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 18%  145M 4s
[2024-03-26T15:33:19.553+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 19% 1.38M 4s
[2024-03-26T15:33:19.559+0000] {subprocess.py:93} INFO -   9550K .......... .......... .......... .......... .......... 19% 12.0M 4s
[2024-03-26T15:33:19.578+0000] {subprocess.py:93} INFO -   9600K .......... .......... .......... .......... .......... 19% 6.43M 4s
[2024-03-26T15:33:19.584+0000] {subprocess.py:93} INFO -   9650K .......... .......... .......... .......... .......... 19% 19.5M 4s
[2024-03-26T15:33:19.591+0000] {subprocess.py:93} INFO -   9700K .......... .......... .......... .......... .......... 19% 8.66M 4s
