[2024-03-29T11:28:59.796+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 21%  320M 7s
[2024-03-29T11:28:59.815+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 21%  267M 7s
[2024-03-29T11:28:59.835+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 21% 48.8M 7s
[2024-03-29T11:28:59.858+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 21% 3.47M 7s
[2024-03-29T11:28:59.860+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 21%  160M 7s
[2024-03-29T11:28:59.861+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 21%  336M 7s
[2024-03-29T11:28:59.862+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 22% 12.0M 7s
[2024-03-29T11:28:59.864+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 22%  224M 7s
[2024-03-29T11:28:59.875+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 22%  300M 6s
[2024-03-29T11:28:59.877+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 22%  175M 6s
[2024-03-29T11:28:59.878+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 22%  239M 6s
[2024-03-29T11:28:59.879+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 22% 2.22M 6s
[2024-03-29T11:28:59.880+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 22% 43.0M 6s
[2024-03-29T11:28:59.881+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 23% 42.4M 6s
[2024-03-29T11:28:59.883+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 23% 2.31M 6s
[2024-03-29T11:28:59.894+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 23%  222M 6s
[2024-03-29T11:28:59.903+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 23%  170M 6s
[2024-03-29T11:28:59.914+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 23% 54.6M 6s
[2024-03-29T11:28:59.920+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 23% 30.2M 6s
[2024-03-29T11:28:59.937+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 23% 16.9M 6s
[2024-03-29T11:28:59.961+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 23% 6.52M 6s
[2024-03-29T11:28:59.993+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 24% 75.6M 6s
[2024-03-29T11:29:00.003+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 24% 14.5M 6s
[2024-03-29T11:29:00.016+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 24%  222M 6s
[2024-03-29T11:29:00.018+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 24%  227M 6s
[2024-03-29T11:29:00.025+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 24% 68.9M 6s
[2024-03-29T11:29:00.031+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 24%  616K 6s
[2024-03-29T11:29:00.038+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 24% 18.2M 6s
[2024-03-29T11:29:00.057+0000] {subprocess.py:93} INFO -   9550K .......... .......... .......... .......... .......... 24% 1.92M 6s
[2024-03-29T11:29:00.085+0000] {subprocess.py:93} INFO -   9600K .......... .......... .......... .......... .......... 25%  174M 6s
[2024-03-29T11:29:00.095+0000] {subprocess.py:93} INFO -   9650K .......... .......... .......... .......... .......... 25%  280M 6s
[2024-03-29T11:29:00.107+0000] {subprocess.py:93} INFO -   9700K .......... .......... .......... .......... .......... 25%  225M 6s
[2024-03-29T11:29:00.109+0000] {subprocess.py:93} INFO -   9750K .......... .......... .......... .......... .......... 25%  392M 6s
[2024-03-29T11:29:00.122+0000] {subprocess.py:93} INFO -   9800K .......... .......... .......... .......... .......... 25%  381M 6s
[2024-03-29T11:29:00.148+0000] {subprocess.py:93} INFO -   9850K .......... .......... .......... .......... .......... 25%  354M 6s
