[2024-03-29T11:42:29.707+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 20%  319M 9s
[2024-03-29T11:42:29.723+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 20%  490M 9s
[2024-03-29T11:42:29.732+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 21% 2.91M 9s
[2024-03-29T11:42:29.733+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 21% 30.9M 8s
[2024-03-29T11:42:29.739+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 21% 1.12M 9s
[2024-03-29T11:42:29.742+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 21%  242M 8s
[2024-03-29T11:42:29.746+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 21%  305K 9s
[2024-03-29T11:42:29.748+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 21%  238M 9s
[2024-03-29T11:42:29.762+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 21%  608K 9s
[2024-03-29T11:42:29.782+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 21% 38.5M 9s
[2024-03-29T11:42:29.784+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 22% 6.02M 9s
[2024-03-29T11:42:29.789+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 22%  269M 9s
[2024-03-29T11:42:29.882+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 22%  366M 9s
[2024-03-29T11:42:29.923+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 22%  375M 9s
[2024-03-29T11:42:29.949+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 22%  280M 9s
[2024-03-29T11:42:30.024+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 22%  317M 9s
[2024-03-29T11:42:30.042+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 22%  324M 9s
[2024-03-29T11:42:30.063+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 23%  353M 9s
[2024-03-29T11:42:30.071+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 23%  977K 9s
[2024-03-29T11:42:30.083+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 23%  171M 9s
[2024-03-29T11:42:30.113+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 23%  282M 9s
[2024-03-29T11:42:30.190+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 23%  262M 9s
[2024-03-29T11:42:30.224+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 23%  232M 8s
[2024-03-29T11:42:30.235+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 23%  155M 8s
