[2024-04-02T13:54:15.820+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... .......... 12% 43.0M 6s
[2024-04-02T13:54:15.822+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... .......... 12% 50.9M 6s
[2024-04-02T13:54:15.824+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... .......... 12% 61.6M 6s
[2024-04-02T13:54:15.826+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... .......... 12% 21.8M 6s
[2024-04-02T13:54:15.827+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... .......... 13% 29.8M 6s
[2024-04-02T13:54:15.828+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 13% 34.3M 6s
[2024-04-02T13:54:15.829+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 13% 57.6M 6s
[2024-04-02T13:54:15.830+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 13% 31.3M 6s
[2024-04-02T13:54:15.831+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 13% 38.7M 6s
[2024-04-02T13:54:15.839+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 13% 3.95M 6s
[2024-04-02T13:54:15.840+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 13% 42.6M 6s
[2024-04-02T13:54:15.841+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 13%  217M 6s
[2024-04-02T13:54:15.842+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 14% 29.7M 6s
[2024-04-02T13:54:15.843+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 14% 30.4M 6s
[2024-04-02T13:54:15.846+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 14% 20.8M 6s
[2024-04-02T13:54:15.852+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 14% 7.67M 6s
[2024-04-02T13:54:15.858+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 14% 9.16M 6s
[2024-04-02T13:54:15.860+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 14% 38.9M 6s
[2024-04-02T13:54:15.861+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 14% 29.6M 5s
[2024-04-02T13:54:15.863+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 14% 56.7M 5s
[2024-04-02T13:54:15.865+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 15%  123M 5s
[2024-04-02T13:54:15.867+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 15% 72.2M 5s
[2024-04-02T13:54:15.869+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 15%  171M 5s
[2024-04-02T13:54:15.871+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 15% 24.2M 5s
[2024-04-02T13:54:15.873+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 15% 12.0M 5s
[2024-04-02T13:54:15.876+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 15% 12.2M 5s
[2024-04-02T13:54:15.877+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 15% 15.7M 5s
[2024-04-02T13:54:15.880+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 16% 11.9M 5s
[2024-04-02T13:54:15.882+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 16% 85.9M 5s
[2024-04-02T13:54:15.883+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 16% 43.3M 5s
[2024-04-02T13:54:15.884+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 16% 40.6M 5s
[2024-04-02T13:54:15.887+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 16%  134M 5s
[2024-04-02T13:54:15.888+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 16% 48.8M 5s
[2024-04-02T13:54:15.889+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 16%  247M 5s
[2024-04-02T13:54:15.893+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 16% 77.2M 5s
[2024-04-02T13:54:15.895+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 17% 35.4M 5s
[2024-04-02T13:54:15.899+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 17%  312M 5s
[2024-04-02T13:54:15.900+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 17%  303M 5s
[2024-04-02T13:54:15.900+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 17%  354M 5s
[2024-04-02T13:54:15.901+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 17%  262M 5s
[2024-04-02T13:54:15.901+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 17%  347M 5s
[2024-04-02T13:54:15.906+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 17% 27.5M 5s
[2024-04-02T13:54:15.914+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 17% 34.4M 5s
[2024-04-02T13:54:15.916+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 18% 45.1M 4s
[2024-04-02T13:54:15.919+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 18% 22.4M 4s
[2024-04-02T13:54:15.922+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 18% 74.0M 4s
[2024-04-02T13:54:15.924+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 18% 45.2M 4s
[2024-04-02T13:54:15.926+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 18% 68.9M 4s
