[2024-03-29T11:42:27.577+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... .......... 12% 20.3M 12s
[2024-03-29T11:42:27.584+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... .......... 12% 62.7M 12s
[2024-03-29T11:42:27.599+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... .......... 13% 19.0M 12s
[2024-03-29T11:42:27.630+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 13%  262M 12s
[2024-03-29T11:42:27.645+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 13%  522M 12s
[2024-03-29T11:42:27.679+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 13% 6.97M 12s
[2024-03-29T11:42:27.688+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 13% 6.37M 12s
[2024-03-29T11:42:27.740+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 13% 1.89M 12s
[2024-03-29T11:42:27.826+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 13%  412M 11s
[2024-03-29T11:42:27.869+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 13% 3.66M 11s
[2024-03-29T11:42:27.882+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 14% 5.16M 11s
[2024-03-29T11:42:27.889+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 14% 5.25M 11s
[2024-03-29T11:42:27.914+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 14% 3.12M 11s
[2024-03-29T11:42:27.958+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 14% 7.45M 11s
[2024-03-29T11:42:28.000+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 14% 1.50M 11s
[2024-03-29T11:42:28.004+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 14% 4.95M 11s
[2024-03-29T11:42:28.005+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 14% 2.06M 11s
[2024-03-29T11:42:28.007+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 14% 55.0M 11s
[2024-03-29T11:42:28.010+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 15% 86.2M 11s
[2024-03-29T11:42:28.019+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 15% 8.24M 11s
[2024-03-29T11:42:28.091+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 15% 3.17M 11s
[2024-03-29T11:42:28.105+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 15% 2.80M 11s
[2024-03-29T11:42:28.124+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 15% 1.22M 11s
[2024-03-29T11:42:28.169+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 15% 6.32M 11s
[2024-03-29T11:42:28.197+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 15% 23.2M 11s
[2024-03-29T11:42:28.238+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 16%  561M 11s
[2024-03-29T11:42:28.294+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 16%  896K 11s
[2024-03-29T11:42:28.307+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 16%  415M 11s
[2024-03-29T11:42:28.404+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 16%  450M 11s
[2024-03-29T11:42:28.419+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 16%  674K 11s
[2024-03-29T11:42:28.562+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 16%  515M 11s
[2024-03-29T11:42:28.584+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 16%  130M 11s
[2024-03-29T11:42:28.601+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 16%  741M 11s
[2024-03-29T11:42:28.663+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 17%  779M 11s
[2024-03-29T11:42:28.698+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 17%  747M 10s
[2024-03-29T11:42:28.786+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 17% 10.5M 10s
[2024-03-29T11:42:28.802+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 17% 2.03M 10s
[2024-03-29T11:42:28.813+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 17%  500M 10s
[2024-03-29T11:42:28.843+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 17%  595M 10s
[2024-03-29T11:42:28.883+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 17% 4.72M 10s
[2024-03-29T11:42:28.918+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 17% 7.79M 10s
[2024-03-29T11:42:28.935+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 18%  228K 11s
[2024-03-29T11:42:28.954+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 18%  481M 11s
[2024-03-29T11:42:28.998+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 18%  543M 11s
[2024-03-29T11:42:29.019+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 18%  350M 11s
[2024-03-29T11:42:29.051+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 18%  534M 11s
[2024-03-29T11:42:29.079+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 18%  666M 11s
[2024-03-29T11:42:29.145+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 18%  534M 11s
[2024-03-29T11:42:29.232+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 18%  554M 10s
[2024-03-29T11:42:29.273+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 19%  441M 10s
[2024-03-29T11:42:29.334+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 19%  328M 10s
[2024-03-29T11:42:29.389+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 19%  489M 10s
[2024-03-29T11:42:29.455+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 19%  720M 10s
[2024-03-29T11:42:29.497+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 19%  590M 10s
[2024-03-29T11:42:29.521+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 19%  567M 10s
[2024-03-29T11:42:29.534+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 19%  390M 10s
[2024-03-29T11:42:29.542+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 20%  558M 10s
[2024-03-29T11:42:29.590+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 20%  577M 10s
[2024-03-29T11:42:29.605+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 20%  386M 10s
[2024-03-29T11:42:29.624+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 20%  479M 10s
[2024-03-29T11:42:29.671+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 20%  492M 9s
[2024-03-29T11:42:29.718+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 20%  483M 9s
[2024-03-29T11:42:29.733+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 20%  352M 9s
[2024-03-29T11:42:29.735+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 20%  314M 9s
[2024-03-29T11:42:29.765+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 21%  495M 9s
[2024-03-29T11:42:29.781+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 21%  495M 9s
[2024-03-29T11:42:29.790+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 21%  405M 9s
[2024-03-29T11:42:29.895+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 21%  201K 10s
[2024-03-29T11:42:29.928+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 21% 14.3M 10s
[2024-03-29T11:42:29.966+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 21%  134M 10s
[2024-03-29T11:42:29.974+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 21%  290M 10s
[2024-03-29T11:42:29.986+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 21% 41.8M 10s
[2024-03-29T11:42:30.022+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 22%  198M 10s
[2024-03-29T11:42:30.065+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 22% 73.8M 9s
[2024-03-29T11:42:30.085+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 22% 4.67M 9s
[2024-03-29T11:42:30.123+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 22%  437M 9s
[2024-03-29T11:42:30.156+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 22% 2.40M 9s
[2024-03-29T11:42:30.178+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 22% 15.9M 9s
[2024-03-29T11:42:30.198+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 22% 1.90M 9s
[2024-03-29T11:42:30.206+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 23%  447M 9s
[2024-03-29T11:42:30.290+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 23%  687M 9s
[2024-03-29T11:42:30.362+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 23%  714M 9s
[2024-03-29T11:42:30.477+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 23%  798M 9s
[2024-03-29T11:42:30.498+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 23%  729M 9s
[2024-03-29T11:42:30.514+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 23% 1.95M 9s
[2024-03-29T11:42:30.556+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 23% 1.84M 9s
[2024-03-29T11:42:30.605+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 23%  909K 9s
[2024-03-29T11:42:30.681+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 24% 1.49M 9s
[2024-03-29T11:42:30.705+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 24%  569K 9s
[2024-03-29T11:42:30.745+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 24% 1.62M 9s
[2024-03-29T11:42:30.766+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 24%  641M 9s
[2024-03-29T11:42:30.821+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 24% 4.65M 9s
[2024-03-29T11:42:30.923+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 24%  483M 9s
[2024-03-29T11:42:30.964+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 24%  576M 9s
[2024-03-29T11:42:30.989+0000] {subprocess.py:93} INFO -   9550K .......... .......... .......... .......... .......... 24%  560M 9s
[2024-03-29T11:42:31.021+0000] {subprocess.py:93} INFO -   9600K .......... .......... .......... .......... .......... 25%  257M 9s
[2024-03-29T11:42:31.031+0000] {subprocess.py:93} INFO -   9650K .......... .......... .......... .......... .......... 25%  489M 9s
[2024-03-29T11:42:31.043+0000] {subprocess.py:93} INFO -   9700K .......... .......... .......... .......... .......... 25%  544M 9s
[2024-03-29T11:42:31.088+0000] {subprocess.py:93} INFO -   9750K .......... .......... .......... .......... .......... 25%  313M 9s
