[2024-03-28T10:04:41.435+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 16%  468M 7s
[2024-03-28T10:04:41.438+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 16%  424M 7s
[2024-03-28T10:04:41.441+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 16%  495M 7s
[2024-03-28T10:04:41.442+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 17% 6.30M 7s
[2024-03-28T10:04:41.443+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 17% 43.7M 7s
[2024-03-28T10:04:41.443+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 17% 5.92M 7s
[2024-03-28T10:04:41.447+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 17% 26.5M 7s
[2024-03-28T10:04:41.451+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 17% 7.41M 7s
[2024-03-28T10:04:41.456+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 17% 20.5M 7s
[2024-03-28T10:04:41.458+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 17% 14.4M 6s
[2024-03-28T10:04:41.459+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 17%  490M 6s
[2024-03-28T10:04:41.499+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 17% 4.90M 6s
[2024-03-28T10:04:41.529+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 17% 10.9M 6s
[2024-03-28T10:04:41.557+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 18%  160M 6s
[2024-03-28T10:04:41.577+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 18% 33.4M 6s
[2024-03-28T10:04:41.593+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 18%  276M 6s
[2024-03-28T10:04:41.595+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 18% 4.24M 6s
[2024-03-28T10:04:41.602+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 18% 16.9M 6s
[2024-03-28T10:04:41.616+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 18% 49.2M 6s
[2024-03-28T10:04:41.626+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 18%  171M 6s
[2024-03-28T10:04:41.628+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 18% 6.63M 6s
[2024-03-28T10:04:41.646+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 18% 43.4M 6s
[2024-03-28T10:04:41.651+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 18%  288M 6s
[2024-03-28T10:04:41.658+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 19%  333M 6s
[2024-03-28T10:04:41.670+0000] {subprocess.py:93} INFO -   9550K .......... .......... .......... .......... .......... 19% 7.81M 6s
[2024-03-28T10:04:41.673+0000] {subprocess.py:93} INFO -   9600K .......... .......... .......... .......... .......... 19% 15.4M 6s
[2024-03-28T10:04:41.680+0000] {subprocess.py:93} INFO -   9650K .......... .......... .......... .......... .......... 19% 4.30M 6s
[2024-03-28T10:04:41.693+0000] {subprocess.py:93} INFO -   9700K .......... .......... .......... .......... .......... 19%  328M 6s
