[2024-03-29T11:42:26.094+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... .......... 12% 6.32M 12s
[2024-03-29T11:42:26.195+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... .......... 12% 2.71M 12s
[2024-03-29T11:42:26.237+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... .......... 12% 3.95M 12s
[2024-03-29T11:42:26.357+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... .......... 12% 2.66M 12s
[2024-03-29T11:42:26.397+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... .......... 12% 3.44M 12s
[2024-03-29T11:42:26.456+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... .......... 13% 1.73M 12s
[2024-03-29T11:42:26.584+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 13%  864K 12s
[2024-03-29T11:42:26.630+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 13% 5.00M 12s
[2024-03-29T11:42:26.639+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 13%  382M 12s
[2024-03-29T11:42:26.639+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 13%  542M 12s
[2024-03-29T11:42:26.641+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 13%  506M 12s
[2024-03-29T11:42:26.724+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 13%  639M 12s
[2024-03-29T11:42:26.799+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 13%  742M 12s
[2024-03-29T11:42:26.821+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 14%  775M 12s
[2024-03-29T11:42:26.822+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 14% 2.53M 12s
[2024-03-29T11:42:26.828+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 14% 38.8M 11s
